CVE, Earliest Recorded Date
CVE-2012-1876, 2012-06-12 00:00:00
CVE-2015-1635, 2017-08-13 14:14:19.665000
CVE-2004-1520, 2004-11-12 00:00:00
CVE-2013-3184, 2013-06-27 00:00:00
CVE-2006-6565, 2006-12-11 00:00:00
CVE-2008-4654, 2008-10-22 00:00:00
CVE-2016-0041, 2015-12-08 00:00:00
CVE-2009-1386, 2000-04-26 00:00:00
CVE-2010-1799, 2010-08-12 00:00:00
CVE-2011-5034, 2011-12-28 00:00:00
CVE-2011-1260, 2011-06-16 00:00:00
CVE-2008-3922, 2008-08-26 00:00:00
CVE-2013-3502, 2013-03-08 00:00:00
CVE-2009-4006, 2009-11-01 00:00:00
CVE-2012-1495, 2012-04-23 00:00:00
CVE-2012-1493, 2012-06-11 00:00:00
CVE-2004-0541, 2004-06-08 00:00:00
CVE-2013-3986, 2013-11-07 00:00:00
CVE-2013-3982, 2013-12-27 00:00:00
CVE-2010-2063, 2010-06-16 00:00:00
CVE-2008-3704, 2008-08-13 00:00:00
CVE-2011-1865, 2011-06-29 00:00:00
CVE-2017-3881, 2017-03-17 00:00:00
